,address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,number_beds,lati,long
171,855 John Watt Boulevard,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Mississauga, L5W1G2,22.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,extendicare mississauga,,,,,Mississauga,3521005.0,140.0,43.63238897,-79.72791359
172,99 New Orchard Avenue,Champlain,For-Profit,No,Yes,No,Yes,Ottawa, K2B5E6,30.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,extendicare new orchard lodge,,,,,Ottawa,3506008.0,111.0,45.37526254,-75.77907516
173,82 Park Road North,Central East,For-Profit,Yes,Yes,Yes,Yes,Oshawa, L1J4L1,41.0,"(31.0, 46.0]",2.0,28.0,"(23.0, 86.0]",3.0,8.0,"(7.0, 11.0]",2.0,extendicare oshawa,<5,0,0,Active,Oshawa,3518013.0,175.0,43.89733765,-78.87514724
174,80 Alexander Avenue,Central East,For-Profit,Yes,Yes,Yes,Yes,Peterborough, K9J6B4,29.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,extendicare peterborough,,,,,Peterborough,3515014.0,174.0,44.29856245,-78.34564511
175,360 Croft Street,Central East,For-Profit,No,Yes,Yes,Yes,Port Hope, L1A4K8,29.0,"(21.0, 31.0]",1.0,21.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,extendicare port hope,,,,,Port Hope,3514020.0,128.0,43.96724219,-78.28414406
176,4551 East Road,South West,For-Profit,Yes,Yes,Yes,Yes,Port Stanley, N5L1J6,31.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,extendicare port stanley,,,,,Central Elgin,3534020.0,60.0,42.67066023,-81.20881357
177,551 Conlins Road,Central East,For-Profit,Yes,Yes,Yes,Yes,Toronto, M1B5S1,35.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,extendicare rouge valley,,0,,Inactive,Toronto,3520005.0,192.0,43.80332132,-79.18867764
178,3830 Lawrence Avenue East,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1G1R6,31.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,extendicare scarborough,11,<5,8,Active,Toronto,3520005.0,154.0,43.76375641,-79.21012454
179,1255 North Talbot Road,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Windsor, N9G3A4,100.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,extendicare southwood lakes,0,0,<5,Active,Windsor,3537039.0,150.0,42.24130106,-82.97743668
180,283 Pelham Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,St. Catharines, L2S1X7,27.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,extendicare st. catharines,,,,,St. Catharines,3526053.0,153.0,43.1300249,-79.2583408
181,114 Starwood Road,Champlain,For-Profit,No,Yes,Yes,Yes,Nepean, K2G3N5,54.0,"(46.0, 172.0]",3.0,26.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,extendicare starwood,,0,,Inactive,Ottawa,3506008.0,192.0,45.35366004,-75.75058715
182,2475 St. Alphonse Street,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Tecumseh, N8N2X2,66.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,extendicare tecumseh,,,,,Tecumseh,3537048.0,128.0,42.28214117,-82.88283156
183,62 St-Jean Avenue,North East,For-Profit,No,Yes,Yes,Yes,Timmins, P4R0A6,39.0,"(31.0, 46.0]",2.0,25.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,extendicare timmins,<5,0,0,Active,Timmins,3556027.0,180.0,48.47746467,-81.37922804
184,143 Bruce Street P.O. Box 999,North East,For-Profit,Yes,Yes,Yes,Yes,Haileybury, P0J1K0,15.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,extendicare tri-town,,,,,Temiskaming Shores,3554020.0,60.0,47.4407208,-79.63014404
185,39 Van Daele Street,North East,For-Profit,Yes,Yes,Yes,Yes,Sault Ste Marie, P6B4V3,22.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,extendicare van daele,,,,,Sault Ste. Marie,3557061.0,100.0,46.5295084,-84.32443156
186,2179 Elmira Drive,Champlain,For-Profit,No,Yes,Yes,Yes,Ottawa, K2C3S1,104.0,"(46.0, 172.0]",3.0,57.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,extendicare west end villa,0,0,<5,Active,Ottawa,3506008.0,242.0,45.35438354,-75.77592346
187,333 York Street,North East,For-Profit,Yes,Yes,Yes,Yes,Sudbury, P3E5J3,61.0,"(46.0, 172.0]",3.0,32.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,extendicare york,,0,,Inactive,Greater Sudbury / Grand Sudbury,3553005.0,288.0,46.47514368,-81.00771419
188,733 Third Line East,North East,Non-Profit,No,Yes,Yes,Yes,Sault Ste Marie, P6A7C1,65.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,f. j. davey home,,,,,Sault Ste. Marie,3557061.0,374.0,46.552122100000005,-84.3119845
189,1934 Dufferin Avenue,Erie St. Clair,For-Profit,No,Yes,No,No,Wallaceburg, N8A4M2,32.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,11.0,"(7.0, 11.0]",2.0,fairfield park,,,,,Chatham-Kent,3536020.0,99.0,42.59425785,-82.41318124
190,881 Dutton Road,Central East,Municipal,Yes,Yes,Yes,Yes,Peterborough, K9H7S4,36.0,"(31.0, 46.0]",2.0,24.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,fairhaven,,,,,Peterborough,3515014.0,256.0,44.32761635,-78.3181676
191,2069 Battersea Road R. R. #1,South East,Municipal,No,Yes,No,Yes,Glenburnie, K0H1S0,34.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,fairmount home for the aged,,,,,Kingston,3510010.0,128.0,44.31346333,-76.4650418
192,14 Mill Street,North Simcoe Muskoka,Non-Profit,No,Yes,Yes,Yes,Huntsville, P1H2A4,21.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,fairvern nursing home,,,,,Huntsville,3544042.0,76.0,45.32656618,-79.21252868
193,632 Dundas Street West P.O. Box 300,Central East,Municipal,No,Yes,Yes,Yes,Whitby, L1N5S3,46.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,fairview lodge,0,0,<5,Active,Whitby,3518009.0,198.0,43.87912064,-78.95110927
194,75 Spring Street,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Almonte, K0A1A0,29.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,fairview manor,,,,,Mississippi Mills,3509030.0,112.0,45.2287855,-76.18998128
195,515 Langs Drive,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Cambridge, N3H5E4,18.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,fairview mennonite home,,,,,Cambridge,3530010.0,84.0,43.398556400000004,-80.34314607
196,14 Cross Street,Toronto Central,For-Profit,No,Yes,Yes,Yes,Toronto, M6J1S8,33.0,"(31.0, 46.0]",2.0,9.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,fairview nursing home,,,,,Toronto,3520005.0,108.0,43.64812078,-79.4285026
197,7900 Mclaughlin Road South,Central West,Non-Profit,No,Yes,Yes,Yes,Brampton, L6Y5A7,39.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,faith manor nursing home,<5,0,<5,Active,Brampton,3521010.0,120.0,43.65401717,-79.74139890000001
198,44 Wychwood Crescent,Central East,For-Profit,No,Yes,Yes,Yes,Fenelon Falls, K0M1N0,18.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,fenelon court,,,,,Kawartha Lakes,3516010.0,67.0,44.52846487,-78.73121905
199,437 First Avenue P.O. Box 340,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Petrolia, N0N1R0,37.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,fiddick's nursing home,,,,,Petrolia,3538019.0,92.0,42.877897,-82.135951
200,1000 Ellesmere Road,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1P5G2,43.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,fieldstone commons care community,,,,,Toronto,3520005.0,224.0,43.76728591,-79.27793126
201,233 Fourth Avenue,North East,For-Profit,Yes,Yes,Yes,Yes,Sudbury, P3B4C3,42.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,finlandia hoivakoti nursing home,0,0,<5,Active,Greater Sudbury / Grand Sudbury,3553005.0,112.0,46.48424888,-80.92711026
202,60 Westheights Drive,Waterloo Wellington,For-Profit,Yes,Yes,Yes,Yes,Kitchener, N2N2A8,101.0,"(46.0, 172.0]",3.0,39.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,forest heights,166,46,59,Active,Kitchener,3530013.0,240.0,43.42864339,-80.52997973
203,6501 Campeau Drive,Champlain,For-Profit,No,Yes,Yes,Yes,Kanata, K2K3E9,42.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,forest hill,,,,,Ottawa,3506008.0,160.0,45.31439133,-75.9096673
204,330 King Street West,Central East,For-Profit,Yes,Yes,Yes,Yes,Newcastle, L1B1G9,23.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,2.0,"(0.0, 5.0]",0.0,fosterbrooke,,,,,Toronto,3520005.0,88.0,43.64665448,-79.39003029
205,1800 O'Connor Drive,Toronto Central,For-Profit,No,Yes,Yes,Yes,East York, M4A1W7,43.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,11.0,"(7.0, 11.0]",2.0,fountain view care community,0,0,<5,Active,Toronto,3520005.0,158.0,43.7205599,-79.30496586
206,389 West Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Brantford, N3R3V9,64.0,"(46.0, 172.0]",3.0,21.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,fox ridge care community,,,,,Brantford,3529006.0,122.0,43.15692506,-80.25558282
207,67 15th Street P.O. Box 1538,North East,Non-Profit,Yes,Yes,Yes,No,Hearst, P0L1N0,17.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,foyer des pionniers,,,,,Hearst,3556076.0,67.0,49.684844700000006,-83.67961927
208,655 Tanguay Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,Welland, L3B6A1,43.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,foyer richelieu welland,,,,,Welland,3526032.0,63.0,42.99062027,-79.22461408
209,1003 Limoges Road South,Champlain,For-Profit,No,Yes,Yes,Yes,Limoges, K0A2M0,66.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,foyer st-viateur nursing home,,,,,The Nation / La Nation,3502025.0,57.0,45.29369315,-75.22846107
210,24 Franklin Road,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Leamington, N8H4B7,56.0,"(46.0, 172.0]",3.0,24.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,franklin gardens long term care home,<5,0,<5,Active,Leamington,3537003.0,120.0,42.03083044,-82.59816325
211,"9756 County Road, #2 P.O. Box 305",South East,For-Profit,No,Yes,No,Yes,Deseronto, K0K1X0,30.0,"(21.0, 31.0]",1.0,21.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,friendly manor nursing home,,,,,Greater Napanee,3511015.0,60.0,44.201206899999995,-77.0375329
212,225 Mary Street West,Central East,For-Profit,No,Yes,Yes,Yes,Lindsay, K9V5K3,22.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,frost manor,,,,,Kawartha Lakes,3516010.0,62.0,44.342364,-78.747889
213,439 Sherbourne Street,Toronto Central,Municipal,Yes,Yes,Yes,Yes,Toronto, M4X1K6,21.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,fudger house,<5,0,0,Active,Toronto,3520005.0,250.0,43.66633069,-79.37402148
214,168 Scott Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,St. Catharines, L2N1H2,56.0,"(46.0, 172.0]",3.0,22.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,garden city manor,<5,0,0,Active,St. Catharines,3526053.0,200.0,43.18091791,-79.2490312
215,1 Sand Beach Road,Toronto Central,For-Profit,No,Yes,Yes,No,Etobicoke, M8V2W2,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,garden court nursing home,,,,,Toronto,3520005.0,45.0,43.60195707,-79.49680752
216,100 Aird Place,Champlain,For-Profit,Yes,Yes,Yes,Yes,Kanata, K2L4H8,54.0,"(46.0, 172.0]",3.0,41.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,garden terrace,0,<5,<5,Active,Ottawa,3506008.0,160.0,45.30976033,-75.90097929999999
217,72 Town Centre Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,Townsend, N0A1S0,18.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,2.0,"(0.0, 5.0]",0.0,gardenview long term care home,0,0,0,Active,Haldimand County,3528018.0,64.0,42.88836551,-80.14081206
218,200 Island Lodge Road,Champlain,Municipal,No,Yes,Yes,Yes,Ottawa, K1N5M2,69.0,"(46.0, 172.0]",3.0,52.0,"(23.0, 86.0]",3.0,21.0,"(11.0, 44.0]",3.0,garry j. armstrong home,,0,,Inactive,Ottawa,3506008.0,180.0,45.43785466,-75.68321333
219,671 Frank Street P.O. Box 10,South West,Municipal,No,Yes,Yes,No,Wiarton, N0H2T0,19.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,gateway haven long term care home,,,,,South Bruce Peninsula,3541055.0,100.0,44.74034089,-81.12803284
220,1115-10th Street East,South West,For-Profit,No,Yes,Yes,Yes,Owen Sound, N4K6B1,20.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,georgian heights,,,,,Owen Sound,3542059.0,40.0,44.56929937,-80.92272196
221,101 Thompsons Road,North Simcoe Muskoka,Municipal,Yes,Yes,Yes,Yes,Penetanguishene, L9M0V3,22.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,georgian manor home for the aged,,,,,Penetanguishene,3543072.0,143.0,44.76796585,-79.91976266
222,500 Hogarth Avenue West,North West,Non-Profit,No,Yes,Yes,Yes,Geraldton, P0T1M0,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,geraldton district hospital,,,,,Greenstone,3558075.0,19.0,49.7226939,-86.9547123
223,50 Gilmore Road,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,Fort Erie, L2A2M1,16.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,gilmore lodge,,,,,Fort Erie,3526003.0,80.0,42.92080238,-78.91490397
224,950 Bank Street,Champlain,Non-Profit,No,Yes,Yes,Yes,Ottawa, K1S5G6,42.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,18.0,"(11.0, 44.0]",3.0,glebe centre,,,,,Ottawa,3506008.0,254.0,45.39876525,-75.68635693
225,26 Elgin Street,Central East,Non-Profit,No,Yes,No,Yes,Bowmanville, L1C3C8,24.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,glen hill marnwood,,,,,Clarington,3518017.0,60.0,43.91589256,-78.68988509
226,264 King Street East,Central East,Non-Profit,Yes,Yes,No,Yes,Bowmanville, L1C1P9,57.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,glen hill strathaven,<5,0,0,Active,Clarington,3518017.0,210.0,43.91212066,-78.67361278
227,1900 Montreal Road,Champlain,Municipal,Yes,Yes,Yes,Yes,Cornwall, K6H7L1,42.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,glen-stor-dun lodge,,,,,Cornwall,3501012.0,132.0,45.02603103,-74.68347497
228,80 Main Street P. O. Box 129,South West,Non-Profit,No,Yes,Yes,No,Lion's Head, N0H1W0,17.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,golden dawn nursing home,<5,0,0,Active,Northern Bruce Peninsula,3541069.0,45.0,44.98706902,-81.25537981
229,481 Melrose Boulevard,North East,Municipal,Yes,Yes,Yes,Yes,Timmins, P4N5H3,21.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,golden manor,<5,0,0,Active,Timmins,3556027.0,177.0,48.48606627,-81.34352493
230,983 Burnham Street,Central East,Municipal,No,Yes,Yes,Yes,Cobourg, K9A5J6,62.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,5.0,"(0.0, 5.0]",0.0,golden plough lodge,,,,,Cobourg,3514021.0,151.0,43.974493700000004,-78.19501703
231,704 Eagle Street North P.O. Box 3277,Waterloo Wellington,For-Profit,No,Yes,Yes,No,Cambridge, N3H4T3,56.0,"(46.0, 172.0]",3.0,26.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,golden years nursing home,0,0,<5,Active,Cambridge,3530010.0,88.0,43.4042795,-80.35454667
232,481 Victoria Street East,Central,For-Profit,No,Yes,No,Yes,Alliston, L9R1J8,14.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,good samaritan nursing home,,,,,New Tecumseth,3543007.0,64.0,44.15888285,-79.84546178
233,45 Kingknoll Drive,Central West,Non-Profit,No,Yes,Yes,Yes,Brampton, L6Y5P2,33.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,grace manor,42,11,25,Active,Brampton,3521010.0,120.0,43.65294337,-79.74143790000001
234,45 Lockton Crescent,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,Yes,Hamilton, L8V4V5,79.0,"(46.0, 172.0]",3.0,24.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,grace villa nursing home,0,0,<5,Active,Hamilton,3525005.0,184.0,43.21147629,-79.84709659
235,657 Lock Street West,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,Dunnville, N1A1V9,37.0,"(31.0, 46.0]",2.0,17.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,grandview lodge / dunnville,,,,,Haldimand County,3528018.0,128.0,42.90834644,-79.63401540000001
236,5501 Abbott Street East,Champlain,For-Profit,No,Yes,Yes,Yes,Stittsville, K2S2C5,34.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,granite ridge care community,,,,,Ottawa,3506008.0,224.0,45.26988372,-75.90499269
237,90 Greenwood Drive,South West,Non-Profit,No,Yes,No,No,Stratford, N5A7W5,20.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,3.0,"(0.0, 5.0]",0.0,greenwood court,,<5,,Inactive,Stratford,3531011.0,45.0,43.38294686,-80.97615776
238,206 Toronto Street South,South West,Municipal,No,Yes,Yes,No,Markdale, N0C1H0,40.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,grey gables home for the aged,,,,,Grey Highlands,3542015.0,66.0,44.31396564,-80.64029685
239,234 Cook Street,North Simcoe Muskoka,Non-Profit,No,Yes,No,Yes,Barrie, L4M4H5,22.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,grove park home for senior citizens,,,,,Barrie,3543042.0,143.0,44.406020700000006,-79.66946724
240,470 Raglan Street North,Champlain,For-Profit,Yes,Yes,Yes,Yes,Renfrew, K7V1P5,19.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,groves park lodge,,,,,Renfrew,3547048.0,90.0,45.48151172,-76.69696907
241,"R.R. #2, 603 Highway 49 Hallowell Township",South East,Municipal,No,Yes,Yes,Yes,Picton, K0K2T0,62.0,"(46.0, 172.0]",3.0,35.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,h.j. mcfarland memorial home,,,,,Prince Edward County,3513020.0,84.0,44.02513295,-77.13549939
242,13628 Loyalist Parkway,South East,For-Profit,No,Yes,Yes,Yes,Picton, K0K2T0,41.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,hallowell house,,0,,Inactive,Prince Edward County,3513020.0,97.0,43.99421064,-77.1810053
243,125 Wentworth Street South,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,Yes,Hamilton, L8N2Z1,40.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,hamilton continuing care,,,,,Hamilton,3525005.0,64.0,43.24791349,-79.8504795
244,75 Plains Road West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Burlington, L7T1E8,31.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,hampton terrace care centre,,0,,Inactive,Burlington,3524002.0,101.0,43.3054339,-79.8554984
245,700-19th Avenue,South West,For-Profit,No,Yes,No,No,Hanover, N4N3S6,22.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,hanover care centre,,,,,Hanover,3542029.0,41.0,44.15991379,-81.01744915
246,612 Mount Pleasant Road R. R. #2,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Brantford, N3T5L5,45.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,hardy terrace,,,,,Brant,3529005.0,101.0,43.0876862,-80.3068167
247,1800 O'Connor Drive,Toronto Central,For-Profit,No,Yes,Yes,Yes,Toronto, M4A1W7,19.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,harmony hills care community,,,,,Toronto,3520005.0,160.0,43.7205599,-79.30496586
248,1 Northwestern Avenue,Central,Non-Profit,No,Yes,Yes,Yes,Toronto, M6M2J7,21.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,harold and grace baker centre,8,13,17,Active,Toronto,3520005.0,120.0,43.69821459,-79.46978092
249,1 Manor Lane P.O. Box 758,South East,Municipal,Yes,Yes,Yes,Yes,Bancroft, K0L1C0,33.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,hastings centennial manor,,,,,Bancroft,3512061.0,110.0,45.0550849,-77.86421482
250,476 Dundas Street West P.O. Box 458,South East,Municipal,Yes,Yes,Yes,Yes,Belleville, K8N5B2,71.0,"(46.0, 172.0]",3.0,56.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,hastings manor home for the aged,6,<5,5,Active,Belleville,3512005.0,253.0,44.14751276,-77.41249679
251,9257 Goreway Drive,Central West,For-Profit,No,Yes,Yes,Yes,Brampton, L6P0N5,58.0,"(46.0, 172.0]",3.0,26.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,hawthorn woods care community,,,,,Brampton,3521010.0,160.0,43.75755779,-79.68888879
252,2045 Finch Avenue West,Central,For-Profit,Yes,Yes,Yes,Yes,North York, M3N1M9,85.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,hawthorne place care centre,45,31,77,Active,Toronto,3520005.0,269.0,43.7562352,-79.52146844
253,47 Ridge Road P.O. Box 1988,Champlain,Non-Profit,Yes,Yes,No,No,Deep River, K0J1P0,22.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,north renfrew long-term care services,,,,,,,21.0,46.102961,-77.48769
254,600 Lake Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,No,No,St. Catharines, L2N4J4,22.0,"(21.0, 31.0]",1.0,12.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,heidehof long term care home,,,,,St. Catharines,3526053.0,106.0,43.19665771,-79.251902
255,343 Amherst Drive,South East,For-Profit,No,Yes,Yes,Yes,Amherstview, K7N1X3,59.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,helen henderson nursing home,,,,,Loyalist,3511005.0,104.0,44.22539531,-76.66374476
256,215 Tyrrel Avenue,Toronto Central,Non-Profit,No,Yes,No,Yes,Toronto, M6G4A9,20.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,hellenic care for seniors (toronto),,,,,Toronto,3520005.0,81.0,43.67679399,-79.43034200000001
257,2411 Lawrence Avenue East,Central East,Non-Profit,Yes,Yes,Yes,Yes,Scarborough, M1P4X1,38.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,13.0,"(11.0, 44.0]",3.0,hellenic home - scarborough,44,14,21,Active,Toronto,3520005.0,128.0,43.74876471,-79.27408486
